SBTVaccineName	UseUnitLabelerName	UseUnitstartDate	UseUnitEndDate	CVX	NDC11
Fluvirin	Novartis Vaccines and Diagnostics Ltd	20110701		140	66521-0114-02
Fluvirin	Novartis Vaccines and Diagnostics Limited	20130730	20140630	141	66521-0116-10
Fluvirin	Novartis Vaccines and Diagnostics Limited			140	66521-0117-02
Fluvirin	Novartis Vaccines and Diagnostics Limited			141	66521-0117-10
Fluvirin	Seqirus			141	70461-0120-10
Fluvirin	Seqirus			140	70461-0120-02
Fluvirin	Novartis Vaccines and Diagnostics Ltd	19980812		140	66521-0112-02
Fluvirin	Novartis Vaccines and Diagnostics Limited	20120720		141	66521-0115-10
Fluvirin	Novartis Vaccines and Diagnostics Ltd	19880812		140	66521-0113-02
Fluvirin	Seqirus			140	70461-0119-12
Fluvirin	Novartis Vaccines and Diagnostics Limited			140	66521-0118-02
Fluvirin	Novartis Vaccines and Diagnostics Limited			141	66521-0118-10
Fluvirin	Novartis Vaccines and Diagnostics Ltd	19980812		141	66521-0112-10
Fluvirin	Novartis Vaccines and Diagnostics Ltd	20110701		141	66521-0114-10
Fluvirin	Novartis Vaccines and Diagnostics Limited	20130730	20140630	140	66521-0116-02
Fluvirin	Novartis Vaccines and Diagnostics Ltd	19880812		141	66521-0113-10
Fluvirin	Novartis Vaccines and Diagnostics Limited	20120720		140	66521-0115-02
Fluvirin	Seqirus			141	70461-0119-11
Fluzone	Sanofi Pasteur Inc.	20130628	20140630	144	49281-0707-55
Fluzone	Sanofi Pasteur Inc.	20100723	20110630	135	49281-0387-65
Fluzone	Sanofi Pasteur Inc.	20120702	20130630	140	49281-0112-25
Fluzone	Sanofi Pasteur Inc.	20100723	20110630	141	49281-0386-15
Fluzone	Sanofi Pasteur Inc.	20100723	20110630	140	49281-0010-25
Fluzone	Sanofi Pasteur Inc.	20100723	20110630	140	49281-0010-50
Fluzone	Sanofi Pasteur Inc.	20120702	20130630	144	49281-0705-55
Fluzone	Sanofi Pasteur Inc.	20100723	20110630	140	49281-0010-10
Fluzone	Sanofi Pasteur		20150630	140	49281-0014-50
Fluzone	Sanofi Pasteur Inc.	20120702	20130630	140	49281-0012-50
Fluzone	Sanofi Pasteur Inc.	20130628	20140630	140	49281-0013-10
Fluzone	Sanofi Pasteur Inc.	20130628	20140630	140	49281-0013-50
Fluzone	Sanofi Pasteur Inc.	20130628	20140630	141	49281-0392-15
Fluzone	Sanofi Pasteur Inc.	20130628	20140630	140	49281-0113-25
Fluzone	Sanofi Pasteur Inc.	20120702	20130630	140	49281-0012-10
Fluzone	Sanofi Pasteur Inc.	20150626	20160630	141	49281-0396-15
Fluzone	Sanofi Pasteur Inc.	20110701	20120630	140	49281-0011-50
Fluzone	Sanofi Pasteur Inc.	20110701	20120630	141	49281-0388-15
Fluzone	Sanofi Pasteur Inc.	20120702	20130630	141	49281-0390-15
Fluzone	Sanofi Pasteur Inc.	20110701	20120630	140	49281-0011-10
Fluzone	Sanofi Pasteur Inc.	20110701	20120630	140	49281-0111-25
Fluzone	Sanofi Pasteur		20150630	141	49281-0394-15
Fluzone HD	Sanofi Pasteur Inc.		20150630	135	49281-0395-65
Fluzone High Dose	Sanofi			135	49281-0401-65
Fluzone High Dose	Sanofi			135	49281-0399-65
Fluzone High-Dose	Sanofi Pasteur Inc.	20150626	20160630	135	49281-0397-65
Fluzone High-Dose	Sanofi Pasteur Inc.	20130628	20140630	135	49281-0393-65
Fluzone High-Dose	Sanofi Pasteur Inc.	20120702	20130630	135	49281-0391-65
Fluzone High-Dose	Sanofi Pasteur Inc.	20110701	20120630	135	49281-0389-65
Fluzone ID quadrivalent	sanofi			166	49281-0710-40
Fluzone ID quadrivalent	Sanofi			166	49281-0712-40
Fluzone Intradermal	Sanofi Pasteur Inc.		20150630	144	49281-0709-55
Fluzone Intradermal	Sanofi Pasteur Inc.	20110701	20120630	144	49281-0703-55
Fluzone Intradermal Quadrivalent	Sanofi Pasteur Inc.	20141211	20150630	166	49281-0708-40
Fluzone Quadrivalent	Sanofi Pasteur Inc.		20150630	158	49281-0621-15
Fluzone Quadrivalent	Sanofi Pasteur Inc.	20130610	20140630	161	49281-0513-25
Fluzone Quadrivalent	Sanofi			158	49281-0625-15
Fluzone quadrivalent	Sanofi			150	49281-0416-10
Fluzone quadrivalent	Sanofi			158	49281-0627-15
Fluzone quadrivalent	Sanofi			150	49281-0416-50
Fluzone Quadrivalent	Sanofi Pasteur Inc.	20130610	20140630	150	49281-0413-50
Fluzone quadrivalent	Sanofi			150	49281-0417-50
Fluzone Quadrivalent	Sanofi Pasteur Inc.	20130610	20140630	150	49281-0413-10
Fluzone quadrivalent	Sanofi			150	49281-0417-10
Fluzone Quadrivalent PF	SANOFI PASTEUR			150	49281-0415-10
Fluzone Quadrivalent PF	Sanofi Pasteur		20150630	150	49281-0414-50
Fluzone Quadrivalent PF	SANOFI PASTEUR		20150630	150	49281-0414-10
Fluzone Quadrivalent, pediatric	Sanofi			161	49281-0517-25
Fluzone Quadrivalent, pediatric	Sanofi			161	49281-0516-25
Fluzone Quadrivalent, peds	Sanofi Pasteur		20150630	161	49281-0514-25
Gardasil	Merck Sharp & Dohme Corp.	20060608		62	00006-4045-00
Gardasil	Merck Sharp & Dohme Corp.	20060608		62	00006-4045-41
Gardasil	Merck Sharp & Dohme Corp.	20060608		62	00006-4109-02
Gardasil	Merck Sharp & Dohme Corp.	20060608		62	00006-4109-09
Gardasil 9	Merck Sharp & Dohme Corp.	20141210		165	00006-4119-02
Gardasil 9	Merck Sharp & Dohme Corp.	20141210		165	00006-4119-03
Gardasil 9	Merck Sharp & Dohme Corp.	20141210		165	00006-4121-02
Havrix	GlaxoSmithKline Biologicals SA	20070413		52	58160-0826-34
Havrix	GlaxoSmithKline Biologicals SA	20070413		52	58160-0826-11
Havrix	GlaxoSmithKline Biologicals SA	20070216		83	58160-0825-52
Havrix	GlaxoSmithKline Biologicals SA	20070413		52	58160-0826-52
Havrix	GlaxoSmithKline Biologicals SA	20070216		83	58160-0825-11
Hiberix	GlaxoSmithKline Biologicals SA	20090824		48	58160-0818-11
Hiberix	GlaxoSmithKline Biologicals SA			48	58160-0816-05
Hiberix	GlaxoSmithKline Biologicals SA	20090824		48	58160-0806-05
Imovax Rabies	Sanofi Pasteur Inc.	20130930		175	49281-0250-51
Infanrix	GlaxoSmithKline Biologicals SA	20090724		20	58160-0810-11
Infanrix	GlaxoSmithKline Biologicals SA	20090724		20	58160-0810-52
Influenza A	CSL Limited	20090701	20100630	126	33332-0519-01
Influenza A	CSL Limited	20090701	20100630	126	33332-0519-25
Influenza A	CSL Limited	20090701	20100630	127	33332-0629-10
Influenza A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-90
Influenza A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		127	49281-0640-15
Influenza A (H1N1) 2009 Monovalent Vaccine	Novartis Vaccines and Diagnostics Ltd	20090915		126	66521-0200-10
Influenza A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-10
Influenza A (H1N1) 2009 Monovalent Vaccine	Novartis Vaccines and Diagnostics Ltd	20090915		127	66521-0200-02
Influenza A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-25
Influenza A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-70
Influenza A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-50
Influenza A H1N1 2009 Monovalent Vaccine Live Intr	MedImmune, LLC	20091001	20100413	125	66019-0200-10
IPOL	Sanofi Pasteur Inc.	19901221		10	49281-0860-55
IPOL	Sanofi Pasteur Inc.	19901221		10	49281-0860-10
Ixiaro	Valneva	20090330		134	42515-0001-01
Ixiaro	Intercell Biomedical Limited	20090330		134	42515-0001-01
Kinrix	GlaxoSmithKline Biologicals SA	20080709		130	58160-0812-52
Kinrix	GlaxoSmithKline Biologicals SA	20080709		130	58160-0812-11
Menactra	Sanofi Pasteur Inc.	20050114		114	49281-0589-05
MenHibrix	GlaxoSmithKline Biologicals SA	20130903		148	58160-0809-05
MenHibrix	GlaxoSmithKline Biologicals SA	20130903		148	58160-0801-11
Menomune - A/C/Y/W-135 COMBINED	Sanofi Pasteur Inc.	19811123		32	49281-0489-91
Menomune - A/C/Y/W-135 COMBINED	Sanofi Pasteur Inc.	19811123		32	49281-0489-01
Menveo	GlaxoSmithKline			136	58160-0955-09
Menveo	Novartis Vaccines and Diagnostics s.r.l.	20100219		136	46028-0208-01
MMR-II	Physicians Total Care, Inc.	19960807	20120630	03	54868-0980-00
MMR-II	Merck Sharp & Dohme Corp.	19710421		03	00006-4681-00
Pediarix	GlaxoSmithKline Biologicals SA	20090724		110	58160-0811-52
Pediarix	GlaxoSmithKline Biologicals SA	20090724		110	58160-0811-51
PedvaxHiB	Merck Sharp & Dohme Corp.	19891220		49	00006-4897-00
Pentacel	Sanofi Pasteur Inc.	20080620		120	49281-0510-05
Pneumovax 23	Merck Sharp & Dohme Corp.	19830707		33	00006-4943-00
Pneumovax 23	Merck Sharp & Dohme Corp.	20140530		33	00006-4837-03
Pneumovax 23	PHYSICIANS TOTAL CARE, INC	19940920	20090630	33	54868-3339-01
Pneumovax 23	PHYSICIANS TOTAL CARE, INC	20060220	20110630	33	54868-4320-00
Pneumovax 23	Merck Sharp & Dohme Corp.			33	00006-4837-02
Pneumovax 23	Merck Sharp & Dohme Corp.	19830707		33	00006-4739-00
Prevnar	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20000301		100	00051-0970-50
Prevnar 13	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20100312		133	00051-0971-04
Prevnar 13	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20100312		133	00051-0971-02
Prevnar 13	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20100312		133	00051-0971-05
ProQuad	Merck Sharp & Dohme Corp.	20150801		94	00006-4171-00
ProQuad	Merck Sharp & Dohme Corp.	20050906	20150731	94	00006-4999-00
Quadracel	Sanofi Pasteur inc.			130	49281-0562-10
RabAvert	GlaxoSmithKline			176	58160-0964-12
RabAvert	Novartis Vaccines and Diagnostics GmbH	19971020		176	63851-0501-01
RabAvert	Novartis Vaccines and Diagnostics GmbH	20140708		176	63851-0501-02
Recombivax HB	Merck Sharp & Dohme Corp.			43	00006-4995-00
Recombivax HB	Merck Sharp & Dohme Corp.	19860723		44	00006-4992-00
Recombivax HB	Merck Sharp & Dohme Corp.			43	00006-4094-02
Recombivax HB	Merck Sharp & Dohme Corp.	19860723		43	00006-4094-09
Recombivax HB	Merck Sharp & Dohme Corp.	19860723		08	00006-4093-09
Recombivax HB	Merck Sharp & Dohme Corp.			08	00006-4093-02
Recombivax HB	Merck Sharp & Dohme Corp.	19860723	20080919	08	00006-4980-00
Recombivax HB	Merck Sharp & Dohme Corp.	19860723		08	00006-4981-00
Recombivax HB	Merck Sharp & Dohme Corp.			43	00006-4995-41
Rotarix	GlaxoSmithKline Biologicals SA	20110113		119	58160-0854-52
RotaTeq	Merck Sharp & Dohme Corp.	20060203		116	00006-4047-20
RotaTeq	Merck Sharp & Dohme Corp.	20060203		116	00006-4047-41
Stamaril	Sanofi Pasteur Inc.			183	49281-0913-01
Tenivac	Sanofi Pasteur Inc.	20101208		113	49281-0215-10
Tenivac	Sanofi Pasteur Inc.	20101208		113	49281-0215-15
Tetanus and Diphtheria Toxoids Adsorbed	Akorn, Inc.	19700727		09	17478-0131-01
Tetanus and Diphtheria Toxoids Adsorbed	Grifols	20150701		09	13533-0131-01
Tetanus Toxoid Adsorbed	Sanofi Pasteur Inc.	20050923		35	49281-0820-10
Tetanus Toxoid Adsorbed	Sanofi Pasteur Inc.	20050923		35	49281-0800-83
Tripedia	Sanofi Pasteur Inc.	19920820	20130313	20	49281-0298-10
Trumenba	Wyeth Pharmaceutical Division of Wyeth Holdings Co			162	00051-0100-05
Trumenba	Wyeth Pharmaceutical Division of Wyeth Holdings Co			162	00051-0100-10
Trumenba	Wyeth Pharmaceutical Division of Wyeth Holdings Co			162	00051-0100-02
Twinrix	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-46
Twinrix	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-11
Twinrix	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-48
Twinrix	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-52
Twinrix	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-34
Typhim Vi	Sanofi Pasteur Inc.	19941128		101	49281-0790-51
Typhim Vi	Sanofi Pasteur Inc.	19941128		101	49281-0790-20
Vaqta	Merck Sharp & Dohme Corp.	19960329		52	00006-4841-41
Vaqta	Merck Sharp & Dohme Corp.	19960329		52	00006-4841-00
Vaqta	Merck Sharp & Dohme Corp.	19960329		83	00006-4831-41
Vaqta	Merck Sharp & Dohme Corp.			83	00006-4095-02
Vaqta	Merck Sharp & Dohme Corp.			52	00006-4096-02
Vaqta	Merck Sharp & Dohme Corp.	19960329		83	00006-4095-09
Vaqta	Merck Sharp & Dohme Corp.	19960329		52	00006-4096-09
Varivax	Merck Sharp & Dohme Corp.	19950317		21	00006-4827-00
Varivax	Merck Sharp & Dohme Corp.	19950317		21	00006-4826-00
Vivotif	PaxVax Berna GmbH			25	69401-0000-02
Vivotif	PaxVax Berna GmbH	19920316		25	69401-0000-01
YF-Vax	Sanofi Pasteur Inc.	19530522		37	49281-0915-05
YF-Vax	Sanofi Pasteur Inc.	19530522		37	49281-0915-01
Zostavax	Merck			121	00006-4963-00
Zostavax	Merck			121	00006-4963-41
