UseUnitPropName	UseUnitLabelerName	UseUnitstartDate	UseUnitEndDate	CVX Code	NDC11
Flulaval Quadrivalent	ID Biomedical Corporation of Quebec	20150701		158	19515-0898-11
Flulaval Quadrivalent	ID Biomedical Corporation of Quebec	20140701		150	19515-0894-52
Flulaval Quadrivalent	ID Biomedical Corporation of Quebec	20150701		150	19515-0901-52
Flulaval Quadrivalent	ID Biomedical Corporation of Quebec	20130815	20140630	158	19515-0895-11
Flulaval quadrivalent	ID Biomedical			150	19515-0908-52
Flulaval quadrivalent	ID Biomedical			158	19515-0903-11
Flulaval quadrivalent	ID Biomedical			158	19515-0896-11
Flulaval quadrivalent	ID Biomedical			150	19515-0912-52
Flulaval Quadrivalent	ID Biomedical Corporation of Quebec	20140701		158	19515-0891-11
FluMist	"MedImmune, LLC"	20120801	20130718	111	66019-0110-10
FluMist	"MedImmune, LLC"	20110630	20120719	111	66019-0109-10
FluMist	"MedImmune, LLC"	20090717	20100419	111	66019-0107-01
FluMist	"MedImmune, LLC"	20100722	20110630	111	66019-0108-10
Flumist Quadrivalent	"MedImmune, LLC"			149	66019-0301-10
FluMist Quadrivalent	"MedImmune, LLC"	20130715		149	66019-0302-10
Flumist Quadrivalent	MedImmune			149	66019-0303-01
FluMist Quadrivalent	"MedImmune, LLC"	20130715		149	66019-0300-10
FLUVIRIN	Novartis Vaccines and Diagnostics Ltd	20110701		140	66521-0114-02
Fluvirin	Novartis Vaccines and Diagnostics Limited	20130730	20140630	141	66521-0116-10
Fluvirin	Novartis Vaccines and Diagnostics Limited			140	66521-0117-02
Fluvirin	Novartis Vaccines and Diagnostics Limited			141	66521-0117-10
Fluvirin	Seqirus			141	70461-0120-10
Fluvirin	Seqirus			140	70461-0120-02
Fluvirin	Novartis Vaccines and Diagnostics Ltd	19980812		140	66521-0112-02
Fluvirin	Novartis Vaccines and Diagnostics Limited	20120720		141	66521-0115-10
FLUVIRIN	Novartis Vaccines and Diagnostics Ltd	19880812		140	66521-0113-02
Fluvirin	Seqirus			140	70461-0119-12
Fluvirin	Novartis Vaccines and Diagnostics Limited			140	66521-0118-02
Fluvirin	Novartis Vaccines and Diagnostics Limited			141	66521-0118-10
Fluvirin	Novartis Vaccines and Diagnostics Ltd	19980812		141	66521-0112-10
FLUVIRIN	Novartis Vaccines and Diagnostics Ltd	20110701		141	66521-0114-10
Fluvirin	Novartis Vaccines and Diagnostics Limited	20130730	20140630	140	66521-0116-02
FLUVIRIN	Novartis Vaccines and Diagnostics Ltd	19880812		141	66521-0113-10
Fluvirin	Novartis Vaccines and Diagnostics Limited	20120720		140	66521-0115-02
Fluvirin	Seqirus			141	70461-0119-11
FLUZONE	Sanofi Pasteur Inc.	20130628	20140630	144	49281-0707-55
FLUZONE	Sanofi Pasteur Inc.	20100723	20110630	135	49281-0387-65
FLUZONE	Sanofi Pasteur Inc.	20120702	20130630	140	49281-0112-25
FLUZONE	Sanofi Pasteur Inc.	20100723	20110630	141	49281-0386-15
FLUZONE	Sanofi Pasteur Inc.	20100723	20110630	140	49281-0010-25
FLUZONE	Sanofi Pasteur Inc.	20100723	20110630	140	49281-0010-50
FLUZONE	Sanofi Pasteur Inc.	20120702	20130630	144	49281-0705-55
FLUZONE	Sanofi Pasteur Inc.	20100723	20110630	140	49281-0010-10
FLUZONE	Sanofi Pasteur		20150630	140	49281-0014-50
FLUZONE	Sanofi Pasteur Inc.	20120702	20130630	140	49281-0012-50
FLUZONE	Sanofi Pasteur Inc.	20130628	20140630	140	49281-0013-10
FLUZONE	Sanofi Pasteur Inc.	20130628	20140630	140	49281-0013-50
FLUZONE	Sanofi Pasteur Inc.	20130628	20140630	141	49281-0392-15
FLUZONE	Sanofi Pasteur Inc.	20130628	20140630	140	49281-0113-25
FLUZONE	Sanofi Pasteur Inc.	20120702	20130630	140	49281-0012-10
FLUZONE	Sanofi Pasteur Inc.	20150626	20160630	141	49281-0396-15
FLUZONE	Sanofi Pasteur Inc.	20110701	20120630	140	49281-0011-50
FLUZONE	Sanofi Pasteur Inc.	20110701	20120630	141	49281-0388-15
FLUZONE	Sanofi Pasteur Inc.	20120702	20130630	141	49281-0390-15
FLUZONE	Sanofi Pasteur Inc.	20110701	20120630	140	49281-0011-10
FLUZONE	Sanofi Pasteur Inc.	20110701	20120630	140	49281-0111-25
Fluzone	Sanofi Pasteur		20150630	141	49281-0394-15
FLUZONE HD	Sanofi Pasteur Inc.		20150630	135	49281-0395-65
Fluzone High Dose	Sanofi			135	49281-0401-65
Fluzone High Dose	Sanofi			135	49281-0399-65
FLUZONE High-Dose	Sanofi Pasteur Inc.	20150626	20160630	135	49281-0397-65
FLUZONE High-Dose	Sanofi Pasteur Inc.	20130628	20140630	135	49281-0393-65
FLUZONE High-Dose	Sanofi Pasteur Inc.	20120702	20130630	135	49281-0391-65
FLUZONE High-Dose	Sanofi Pasteur Inc.	20110701	20120630	135	49281-0389-65
fluzone ID quadrivalent	sanofi			166	49281-0710-40
fluzone ID quadrivalent	Sanofi			166	49281-0712-40
FLUZONE Intradermal	Sanofi Pasteur Inc.		20150630	144	49281-0709-55
FLUZONE Intradermal	Sanofi Pasteur Inc.	20110701	20120630	144	49281-0703-55
Fluzone Intradermal Quadrivalent	Sanofi Pasteur Inc.	20141211	20150630	166	49281-0708-40
FLUZONE QUADRIVALENT	Sanofi Pasteur Inc.		20150630	158	49281-0621-15
FLUZONE QUADRIVALENT	Sanofi Pasteur Inc.	20130610	20140630	161	49281-0513-25
Fluzone quadrivalent	Sanofi			158	49281-0625-15
Fluzone quadrivalent	Sanofi			150	49281-0416-10
Fluzone quadrivalent	Sanofi			158	49281-0627-15
Fluzone quadrivalent	Sanofi			150	49281-0416-50
FLUZONE QUADRIVALENT	Sanofi Pasteur Inc.	20130610	20140630	150	49281-0413-50
Fluzone quadrivalent	Sanofi			150	49281-0417-50
FLUZONE QUADRIVALENT	Sanofi Pasteur Inc.	20130610	20140630	150	49281-0413-10
Fluzone quadrivalent	Sanofi			150	49281-0417-10
FLUZONE QUADRIVALENT PF	SANOFI PASTEUR			150	49281-0415-10
Fluzone Quadrivalent PF	Sanofi Pasteur		20150630	150	49281-0414-50
FLUZONE QUADRIVALENT PF	SANOFI PASTEUR		20150630	150	49281-0414-10
"Fluzone Quadrivalent, pediatric"	Sanofi			161	49281-0517-25
"Fluzone Quadrivalent, pediatric"	Sanofi			161	49281-0516-25
"Fluzone Quadrivalent, peds"	Sanofi Pasteur		20150630	161	49281-0514-25
GARDASIL	Merck Sharp & Dohme Corp.	20060608		62	00006-4045-00
GARDASIL	Merck Sharp & Dohme Corp.	20060608		62	00006-4045-41
GARDASIL	Merck Sharp & Dohme Corp.	20060608		62	00006-4109-02
GARDASIL	Merck Sharp & Dohme Corp.	20060608		62	00006-4109-09
GARDASIL 9	Merck Sharp & Dohme Corp.	20141210		165	00006-4119-02
GARDASIL 9	Merck Sharp & Dohme Corp.	20141210		165	00006-4119-03
GARDASIL 9	Merck Sharp & Dohme Corp.	20141210		165	00006-4121-02
HAVRIX	GlaxoSmithKline Biologicals SA	20070413		52	58160-0826-34
HAVRIX	GlaxoSmithKline Biologicals SA	20070413		52	58160-0826-11
HAVRIX	GlaxoSmithKline Biologicals SA	20070216		83	58160-0825-52
HAVRIX	GlaxoSmithKline Biologicals SA	20070413		52	58160-0826-52
HAVRIX	GlaxoSmithKline Biologicals SA	20070216		83	58160-0825-11
HIBERIX	GlaxoSmithKline Biologicals SA	20090824		48	58160-0818-11
HIBERIX	GlaxoSmithKline Biologicals SA			48	58160-0816-05
HIBERIX	GlaxoSmithKline Biologicals SA	20090824		48	58160-0806-05
IMOVAX RABIES	Sanofi Pasteur Inc.	20130930		175	49281-0250-51
INFANRIX	GlaxoSmithKline Biologicals SA	20090724		20	58160-0810-11
INFANRIX	GlaxoSmithKline Biologicals SA	20090724		20	58160-0810-52
"INFLUENZA (H5N1), adjuvanted"	GlaxoSmithKline			160	58160-0808-15
Influenza A	CSL Limited	20090701	20100630	126	33332-0519-01
Influenza A	CSL Limited	20090701	20100630	126	33332-0519-25
Influenza A	CSL Limited	20090701	20100630	127	33332-0629-10
INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-90
INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		127	49281-0640-15
Influenza A (H1N1) 2009 Monovalent Vaccine	Novartis Vaccines and Diagnostics Ltd	20090915		126	66521-0200-10
INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-10
Influenza A (H1N1) 2009 Monovalent Vaccine	Novartis Vaccines and Diagnostics Ltd	20090915		127	66521-0200-02
INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-25
INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-70
INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE	Sanofi Pasteur Inc.	20090915		126	49281-0650-50
Influenza A H1N1 2009 Monovalent Vaccine Live Intr	"MedImmune, LLC"	20091001	20100413	125	66019-0200-10
IPOL	Sanofi Pasteur Inc.	19901221		10	49281-0860-55
IPOL	Sanofi Pasteur Inc.	19901221		10	49281-0860-10
IXIARO	Valneva	20090330		134	42515-0001-01
IXIARO	Intercell Biomedical Limited	20090330		134	42515-0001-01
KINRIX	GlaxoSmithKline Biologicals SA	20080709		130	58160-0812-52
KINRIX	GlaxoSmithKline Biologicals SA	20080709		130	58160-0812-11
Menactra	Sanofi Pasteur Inc.	20050114		114	49281-0589-05
MENHIBRIX	GlaxoSmithKline Biologicals SA	20130903		148	58160-0809-05
MENHIBRIX	GlaxoSmithKline Biologicals SA	20130903		148	58160-0801-11
MENOMUNE - A/C/Y/W-135 COMBINED	Sanofi Pasteur Inc.	19811123		32	49281-0489-91
MENOMUNE - A/C/Y/W-135 COMBINED	Sanofi Pasteur Inc.	19811123		32	49281-0489-01
Menveo	GlaxoSmithKline			136	58160-0955-09
Menveo	Novartis Vaccines and Diagnostics s.r.l.	20100219		136	46028-0208-01
M-M-R II	"Physicians Total Care, Inc."	19960807	20120630	03	54868-0980-00
M-M-R II	Merck Sharp & Dohme Corp.	19710421		03	00006-4681-00
PEDIARIX	GlaxoSmithKline Biologicals SA	20090724		110	58160-0811-52
PEDIARIX	GlaxoSmithKline Biologicals SA	20090724		110	58160-0811-51
PedvaxHIB	Merck Sharp & Dohme Corp.	19891220		49	00006-4897-00
PENTACEL	Sanofi Pasteur Inc.	20080620		120	49281-0510-05
PNEUMOVAX 23	Merck Sharp & Dohme Corp.	19830707		33	00006-4943-00
PNEUMOVAX 23	Merck Sharp & Dohme Corp.	20140530		33	00006-4837-03
PNEUMOVAX 23	"PHYSICIANS TOTAL CARE, INC"	19940920	20090630	33	54868-3339-01
PNEUMOVAX 23	"PHYSICIANS TOTAL CARE, INC"	20060220	20110630	33	54868-4320-00
PNEUMOVAX 23	Merck Sharp & Dohme Corp.			33	00006-4837-02
PNEUMOVAX 23	Merck Sharp & Dohme Corp.	19830707		33	00006-4739-00
Prevnar	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20000301		100	00005-1970-50
PREVNAR 13	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20100312		133	00005-1971-04
PREVNAR 13	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20100312		133	00005-1971-02
PREVNAR 13	Wyeth Pharmaceutical Division of Wyeth Holdings Co	20100312		133	00005-1971-05
ProQuad	Merck Sharp & Dohme Corp.	20150801		94	00006-4171-00
ProQuad	Merck Sharp & Dohme Corp.	20050906	20150731	94	00006-4999-00
Quadracel	Sanofi Pasteur inc.			130	49281-0562-10
RABAVERT	GlaxoSmithKline			176	58160-0964-12
RabAvert	Novartis Vaccines and Diagnostics GmbH	19971020		176	63851-0501-01
RabAvert	Novartis Vaccines and Diagnostics GmbH	20140708		176	63851-0501-02
RECOMBIVAX HB	Merck Sharp & Dohme Corp.			43	00006-4995-00
RECOMBIVAX HB	Merck Sharp & Dohme Corp.	19860723		44	00006-4992-00
RECOMBIVAX HB	Merck Sharp & Dohme Corp.			43	00006-4094-02
RECOMBIVAX HB	Merck Sharp & Dohme Corp.	19860723		43	00006-4094-09
RECOMBIVAX HB	Merck Sharp & Dohme Corp.	19860723		08	00006-4093-09
RECOMBIVAX HB	Merck Sharp & Dohme Corp.			08	00006-4093-02
RECOMBIVAX HB	Merck Sharp & Dohme Corp.	19860723	20080919	08	00006-4980-00
RECOMBIVAX HB	Merck Sharp & Dohme Corp.	19860723		08	00006-4981-00
RECOMBIVAX HB	Merck Sharp & Dohme Corp.			43	00006-4995-41
ROTARIX	GlaxoSmithKline Biologicals SA	20110113		119	58160-0854-52
RotaTeq	Merck Sharp & Dohme Corp.	20060203		116	00006-4047-20
RotaTeq	Merck Sharp & Dohme Corp.	20060203		116	00006-4047-41
STAMARIL	Sanofi Pasteur Inc.			183	49281-0913-01
TENIVAC	Sanofi Pasteur Inc.	20101208		113	49281-0215-10
TENIVAC	Sanofi Pasteur Inc.	20101208		113	49281-0215-15
Tetanus and Diphtheria Toxoids Adsorbed	"Akorn, Inc."	19700727		09	17478-0131-01
Tetanus and Diphtheria Toxoids Adsorbed	Grifols	20150701		09	13533-0131-01
TETANUS TOXOID ADSORBED	Sanofi Pasteur Inc.	20050923		35	49281-0820-10
TETANUS TOXOID ADSORBED	Sanofi Pasteur Inc.	20050923		35	49281-0800-83
TRIPEDIA	Sanofi Pasteur Inc.	19920820	20130313	20	49281-0298-10
Trumenba	Wyeth Pharmaceutical Division of Wyeth Holdings Co			162	00005-0100-05
Trumenba	Wyeth Pharmaceutical Division of Wyeth Holdings Co			162	00005-0100-10
Trumenba	Wyeth Pharmaceutical Division of Wyeth Holdings Co			162	00005-0100-02
TWINRIX	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-46
TWINRIX	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-11
TWINRIX	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-48
TWINRIX	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-52
TWINRIX	GlaxoSmithKline Biologicals SA	20070607		104	58160-0815-34
Typhim Vi	Sanofi Pasteur Inc.	19941128		101	49281-0790-51
Typhim Vi	Sanofi Pasteur Inc.	19941128		101	49281-0790-20
VAQTA	Merck Sharp & Dohme Corp.	19960329		52	00006-4841-41
VAQTA	Merck Sharp & Dohme Corp.	19960329		52	00006-4841-00
VAQTA	Merck Sharp & Dohme Corp.	19960329		83	00006-4831-41
VAQTA	Merck Sharp & Dohme Corp.			83	00006-4095-02
VAQTA	Merck Sharp & Dohme Corp.			52	00006-4096-02
VAQTA	Merck Sharp & Dohme Corp.	19960329		83	00006-4095-09
VAQTA	Merck Sharp & Dohme Corp.	19960329		52	00006-4096-09
VARIVAX	Merck Sharp & Dohme Corp.	19950317		21	00006-4827-00
VARIVAX	Merck Sharp & Dohme Corp.	19950317		21	00006-4826-00
VAXCHORA	PaxVax Berna GmbH			174	70460-0001-01
VAXCHORA	PAXVAX			174	70460-0002-01
Vivotif	PaxVax Berna GmbH			25	69401-0000-02
Vivotif	PaxVax Berna GmbH	19920316		25	69401-0000-01
YF-VAX	Sanofi Pasteur Inc.	19530522		37	49281-0915-05
YF-VAX	Sanofi Pasteur Inc.	19530522		37	49281-0915-01
Zostavax	Merck			121	00006-4963-00
Zostavax	Merck			121	00006-4963-41
